column_a,year,month,dayofmonth,dayofweek,deptime,crsdeptime,arrtime,crsarrtime,uniquecarrier,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,dest,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,yearmonth
0       ,2008,1    ,3         ,4        ,2003.0 ,1955      ,2211.0 ,2225      ,WN           ,335      ,N712SW ,128.0            ,150.0         ,116.0  ,-14.0   ,8.0     ,IAD   ,TPA ,810     ,4.0   ,8.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
1       ,2008,1    ,3         ,4        ,754.0  ,735       ,1002.0 ,1000      ,WN           ,3231     ,N772SW ,128.0            ,145.0         ,113.0  ,2.0     ,19.0    ,IAD   ,TPA ,810     ,5.0   ,10.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
17      ,2008,1    ,3         ,4        ,754.0  ,745       ,940.0  ,955       ,WN           ,1144     ,N778SW ,226.0            ,250.0         ,205.0  ,-15.0   ,9.0     ,IND   ,PHX ,1489    ,5.0   ,16.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
142     ,2008,1    ,3         ,4        ,1556.0 ,1455      ,1704.0 ,1600      ,WN           ,354      ,N496WN ,68.0             ,65.0          ,41.0   ,64.0    ,61.0    ,LAS   ,LAX ,236     ,9.0   ,18.0   ,false    ,N               ,false   ,61.0        ,0.0         ,3.0     ,0.0          ,0.0              ,2008-01
1359    ,2008,1    ,3         ,4        ,2032.0 ,2010      ,2048.0 ,2035      ,WN           ,2871     ,N709SW ,76.0             ,85.0          ,69.0   ,13.0    ,22.0    ,PHX   ,BUR ,369     ,2.0   ,5.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25110   ,2008,1    ,10        ,4        ,1952.0 ,1925      ,2113.0 ,2055      ,WN           ,632      ,N460WN ,81.0             ,90.0          ,61.0   ,18.0    ,27.0    ,SFO   ,LAS ,414     ,10.0  ,10.0   ,false    ,N               ,false   ,0.0         ,0.0         ,0.0     ,0.0          ,18.0             ,2008-01
321525  ,2008,1    ,30        ,3        ,945.0  ,935       ,1129.0 ,1127      ,DL           ,1577     ,N3733Z ,104.0            ,112.0         ,84.0   ,2.0     ,10.0    ,IAD   ,ATL ,533     ,7.0   ,13.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321540  ,2008,1    ,30        ,3        ,1448.0 ,1435      ,1740.0 ,1735      ,DL           ,1597     ,N974DL ,172.0            ,180.0         ,143.0  ,5.0     ,13.0    ,LGA   ,MCO ,950     ,5.0   ,24.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321544  ,2008,1    ,30        ,3        ,1530.0 ,1504      ,1819.0 ,1755      ,DL           ,1603     ,N173DN ,169.0            ,171.0         ,114.0  ,24.0    ,26.0    ,JFK   ,ATL ,760     ,11.0  ,44.0   ,false    ,N               ,false   ,24.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321562  ,2008,1    ,30        ,3        ,928.0  ,900       ,1053.0 ,1036      ,DL           ,1619     ,N3745B ,85.0             ,96.0          ,63.0   ,17.0    ,28.0    ,CVG   ,ATL ,373     ,8.0   ,14.0   ,false    ,N               ,false   ,17.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321572  ,2008,1    ,30        ,3        ,826.0  ,815       ,1213.0 ,1157      ,DL           ,1629     ,N992DL ,227.0            ,222.0         ,202.0  ,16.0    ,11.0    ,BOS   ,FLL ,1237    ,4.0   ,21.0   ,false    ,N               ,false   ,11.0        ,0.0         ,5.0     ,0.0          ,0.0              ,2008-01
321582  ,2008,1    ,30        ,3        ,2024.0 ,2011      ,2122.0 ,2114      ,DL           ,1640     ,N918DL ,58.0             ,63.0          ,33.0   ,8.0     ,13.0    ,ATL   ,CAE ,191     ,5.0   ,20.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321584  ,2008,1    ,30        ,3        ,1106.0 ,1100      ,1208.0 ,1206      ,DL           ,1643     ,N948DL ,62.0             ,66.0          ,39.0   ,2.0     ,6.0     ,ATL   ,SAV ,215     ,5.0   ,18.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321620  ,2008,1    ,30        ,3        ,906.0  ,855       ,1058.0 ,1048      ,DL           ,1692     ,N619DL ,292.0            ,293.0         ,268.0  ,10.0    ,11.0    ,CVG   ,LAX ,1900    ,15.0  ,9.0    ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321632  ,2008,1    ,30        ,3        ,1502.0 ,1450      ,1740.0 ,1723      ,DL           ,1704     ,N986DL ,158.0            ,153.0         ,102.0  ,17.0    ,12.0    ,ATL   ,EWR ,745     ,6.0   ,50.0   ,false    ,N               ,false   ,0.0         ,0.0         ,17.0    ,0.0          ,0.0              ,2008-01
321638  ,2008,1    ,30        ,3        ,2019.0 ,2010      ,2304.0 ,2309      ,DL           ,1710     ,N949DL ,165.0            ,179.0         ,134.0  ,-5.0    ,9.0     ,FLL   ,JFK ,1069    ,11.0  ,20.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
25112   ,2008,1    ,10        ,4        ,1314.0 ,1110      ,1452.0 ,1240      ,WN           ,706      ,N376SW ,98.0             ,90.0          ,62.0   ,132.0   ,124.0   ,SFO   ,LAS ,414     ,10.0  ,26.0   ,false    ,N               ,false   ,9.0         ,0.0         ,8.0     ,0.0          ,115.0            ,2008-01
321644  ,2008,1    ,30        ,3        ,1335.0 ,1320      ,1846.0 ,1849      ,DL           ,1714     ,N388DA ,191.0            ,209.0         ,172.0  ,-3.0    ,15.0    ,PHX   ,CVG ,1569    ,7.0   ,12.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321646  ,2008,1    ,30        ,3        ,706.0  ,700       ,1013.0 ,936       ,DL           ,1715     ,N903DA ,247.0            ,216.0         ,190.0  ,37.0    ,6.0     ,ORD   ,SLC ,1249    ,6.0   ,51.0   ,false    ,N               ,false   ,3.0         ,3.0         ,31.0    ,0.0          ,0.0              ,2008-01
321651  ,2008,1    ,30        ,3        ,1338.0 ,1323      ,1625.0 ,1606      ,DL           ,1720     ,N910DN ,107.0            ,103.0         ,86.0   ,19.0    ,15.0    ,PDX   ,SLC ,630     ,6.0   ,15.0   ,false    ,N               ,false   ,0.0         ,0.0         ,4.0     ,0.0          ,15.0             ,2008-01
321652  ,2008,1    ,30        ,3        ,1659.0 ,1651      ,1842.0 ,1817      ,DL           ,1720     ,N910DN ,103.0            ,86.0          ,67.0   ,25.0    ,8.0     ,SLC   ,DEN ,391     ,12.0  ,24.0   ,false    ,N               ,false   ,0.0         ,0.0         ,17.0    ,0.0          ,8.0              ,2008-01
321655  ,2008,1    ,30        ,3        ,910.0  ,600       ,1114.0 ,817       ,DL           ,1723     ,N991DL ,124.0            ,137.0         ,103.0  ,177.0   ,190.0   ,ROC   ,ATL ,749     ,8.0   ,13.0   ,false    ,N               ,false   ,0.0         ,177.0       ,0.0     ,0.0          ,0.0              ,2008-01
321660  ,2008,1    ,30        ,3        ,851.0  ,832       ,1008.0 ,957       ,DL           ,1727     ,N688DL ,197.0            ,205.0         ,173.0  ,11.0    ,19.0    ,ATL   ,DEN ,1199    ,8.0   ,16.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321663  ,2008,1    ,30        ,3        ,1345.0 ,1258      ,1513.0 ,1430      ,DL           ,1730     ,N960DL ,88.0             ,92.0          ,72.0   ,43.0    ,47.0    ,ATL   ,ORF ,516     ,3.0   ,13.0   ,false    ,N               ,false   ,43.0        ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321664  ,2008,1    ,30        ,3        ,1701.0 ,1630      ,1905.0 ,1831      ,DL           ,1731     ,N906DA ,244.0            ,241.0         ,216.0  ,34.0    ,31.0    ,DTW   ,SLC ,1481    ,5.0   ,23.0   ,false    ,N               ,false   ,0.0         ,0.0         ,3.0     ,0.0          ,31.0             ,2008-01
321668  ,2008,1    ,30        ,3        ,754.0  ,600       ,1013.0 ,824       ,DL           ,1735     ,N385DN ,139.0            ,144.0         ,114.0  ,109.0   ,114.0   ,EWR   ,ATL ,745     ,9.0   ,16.0   ,false    ,N               ,false   ,109.0       ,0.0         ,0.0     ,0.0          ,0.0              ,2008-01
321670  ,2008,1    ,30        ,3        ,1540.0 ,1248      ,2046.0 ,1753      ,DL           ,1736     ,N371DA ,186.0            ,185.0         ,159.0  ,173.0   ,172.0   ,HDN   ,ATL ,1340    ,9.0   ,18.0   ,false    ,N               ,false   ,0.0         ,0.0         ,1.0     ,0.0          ,172.0            ,2008-01
25113   ,2008,1    ,10        ,4        ,1639.0 ,1440      ,1759.0 ,1610      ,WN           ,1018     ,N429WN ,80.0             ,90.0          ,62.0   ,109.0   ,119.0   ,SFO   ,LAS ,414     ,6.0   ,12.0   ,false    ,N               ,false   ,1.0         ,0.0         ,0.0     ,0.0          ,108.0            ,2008-01
321704  ,2008,1    ,30        ,3        ,1928.0 ,1912      ,2207.0 ,2159      ,DL           ,1775     ,N399DA ,339.0            ,347.0         ,318.0  ,8.0     ,16.0    ,MCO   ,LAX ,2217    ,8.0   ,13.0   ,false    ,N               ,false   ,            ,            ,        ,             ,                 ,2008-01
321714  ,2008,1    ,30        ,3        ,1739.0 ,1605      ,2040.0 ,1909      ,DL           ,1786     ,N982DL ,181.0            ,184.0         ,141.0  ,91.0    ,94.0    ,FLL   ,LGA ,1076    ,7.0   ,33.0   ,false    ,N               ,false   ,0.0         ,0.0         ,91.0    ,0.0          ,0.0              ,2008-01
321727  ,2008,1    ,30        ,3        ,1357.0 ,1330      ,1516.0 ,1500      ,DL           ,1804     ,N679DA ,79.0             ,90.0          ,57.0   ,16.0    ,27.0    ,ATL   ,MCO ,403     ,5.0   ,17.0   ,false    ,N               ,false   ,0.0         ,0.0         ,14.0    ,0.0          ,2.0              ,2008-01
321728  ,2008,1    ,30        ,3        ,1749.0 ,1720      ,1808.0 ,1750      ,DL           ,1806     ,N996DL ,79.0             ,90.0          ,58.0   ,18.0    ,29.0    ,ATL   ,MEM ,332     ,5.0   ,16.0   ,false    ,N               ,false   ,1.0         ,0.0         ,0.0     ,0.0          ,17.0             ,2008-01
321740  ,2008,1    ,30        ,3        ,1958.0 ,1911      ,2231.0 ,2200      ,DL           ,1822     ,N968DL ,153.0            ,169.0         ,129.0  ,31.0    ,47.0    ,PBI   ,LGA ,1035    ,5.0   ,19.0   ,false    ,N               ,false   ,0.0         ,0.0         ,31.0    ,0.0          ,0.0              ,2008-01
